cell_id,model,task_id,family,condition,seed,primary_disposition,posthoc_disposition,final_pass_fail,surface_failure_layer,root_mechanism_layer,rule_id,oracle_answer_used,unique,local,offline_verifiable,repair_signature_match,before_snippet_hash,after_snippet_hash
qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026072004,qwen3_5_4b,ce112_q04_radical_simplification,radical,Ab2g,2026072004,MODIFIED_RESCUED,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,c8e83cecbd57121723a290f1a91c9a32a75ab3ecd2d593b2279f70bffe141ae7,2e77e663c63a9660ceb9a6b6fa3cc417dcb6ab43609e090b242cb32fa73eca8c
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026072002,qwen3_5_4b,ce113_q01_negative_fraction_subtraction,fraction,Ab2d+spec,2026072002,MODIFIED_RESCUED,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,61c5bbe666505b451b43d5c8cf341dcd1fe6d08781be401035c5c30e6da55714,5c0096122f64bcc5a63e9f767029c35f9aa9ebf402f9346e4608727a2a9116fc
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026072003,qwen3_5_4b,ce113_q01_negative_fraction_subtraction,fraction,Ab2g,2026072003,MODIFIED_RESCUED,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,8699b3c183676d9e7b28d43998acb688d45ab70864ee1f88fb49d710caa1e020,f5d064162554e6256e5ee44ad4f0810b1ba0990a51f18e3eb7374e280320db05
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,qwen3_5_4b,ce115_calc_radical_simplification_l1,radical,Ab2d+api,2026071301,NO_OP,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,c74c03157866c1b595bf9dfdaffcdb351de06215e6dd08aa465bf14f2ae95c1d,ac6299da36256125e27fc76c71bb76ff1ef1b31939f71e72fc22df1f4b092aaf
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026072002,qwen3_5_4b,ce115_calc_radical_simplification_l1,radical,Ab2d+api,2026072002,MODIFIED_RESCUED,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,d9af6acf3f2f1a9fbe9e608dc1895e06bf5879f8a1fbb98c4a0e62fd686e4858,0ddd4fb757580b67e7f6e9ba0c57a665a96f20e0a445ca54d97f2fe567610a25
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026071301,qwen3_5_4b,ce115_calc_radical_simplification_l1,radical,Ab2d+spec,2026071301,MODIFIED_RESCUED,MODIFIED_RESCUED,PASS,L2,L2_CONTRACT_SCHEMA_ENTRYPOINT,L2_SINGLE_KEY_ORACLE_PAYLOAD_WRAP,False,TRUE,TRUE,TRUE,AMBIGUOUS_SIGNATURE_MATCH,b2006e371ba0db41cb0bf5639a8bc10001f58b25a58ed3186028ea9e727e1a9d,a03ab5c3aa293ec62608839352f34456f0252a5d8752f31674ea58a39a2d33f2
