cell_id,task_id,condition,seed,original_response_sha256,original_response_byte_length,method1_evaluated_artifact_sha256,method1_candidate_hash,method1_raw_response_sha256,method1_artifact_vs_candidate_differ,method2_raw_source_sha256,method2_raw_source_actual_sha256_recomputed,method2_final_source_sha256,method2_extraction_method,method2_extraction_status,source_byte_length_method2_raw,parse_status_method2_raw,method1_final_status,method1_g1_parse,method1_eligibility_record_exists,method2_raw_status,status_changes,method1_eligibility_source_present,method1_healer_eligible,method1_eligibility_reason,method1_matched_rule_probe,method2_eligible,method2_rule_id,method2_rule_triggered,method2_source_changed_flag,artifact_vs_m2raw_source_differ,candidate_vs_m2raw_source_differ,eligibility_only_diff,classification
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,2026071301,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,1650,585b8e93462ec20a57675634f48da15e7f8328121feec6ac6b5381a1b459b60f,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,True,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,07e7426f63e80306f6c0460692c9f5a8d3a015439f694fa1aeb0e6914b38e473,plain_text,extracted,1650,parses_ok,PASSED,PASS,False,PASSED,False,False,,,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026072001,ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,2026072001,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,2173,7bda845cd8fa76578d4c3a91a7e7ca1d0c4fd8e6a5296c50b601363e1021cd54,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,True,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,573171adbaf4f135dd915bd02e01889ae3b8117992376e16572845190c9de69f,plain_text,extracted,2173,parses_ok,PASSED,PASS,False,PASSED,False,False,,,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026072002,ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,2026072002,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,1017,e2e1044e6fdfe4e95a7337056e189d6ac6ae4445ff686d60fdfb946e896c259f,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,True,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,99d4b7480cf7725866b74cc6d3750ca910b5a3f31ddcc7ed6ccf4078ebde9004,plain_text,extracted,1017,parses_ok,PASSED,PASS,False,PASSED,False,False,,,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026072003,ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,2026072003,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,1010,2c88862fc19172c1d2cb5316395f5dcd23d9cde86b7ea30100e0773fe05ad040,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,True,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,e64280e000aa1a84e6f6ddb127eb4221d57771715e01670dd34ffcd8d89f16e8,plain_text,extracted,1010,parses_ok,PASSED,PASS,False,PASSED,False,False,,,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026072004,ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,2026072004,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,2155,b10cdeb325e5be42843f58b34f56f769e85c65d30e7edcef954f5275521b4721,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,True,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,0e6b643a5109927664cdaaf49699e20cb1eeba2c6512531aab221f41343aa9fc,plain_text,extracted,2155,parses_ok,PASSED,PASS,False,PASSED,False,False,,,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2g,2026071301,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,7251,3efba2aa1efd0c68ac37e026a04acd97ba65826be0e42fcc4ce704d8d19fc769,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,True,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,f9229f9844d17dc93ca57c7f8656ab41d79d6544bb14da61215f49a845ad2bac,plain_text,extracted,7251,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072001,ce111_nonchoice_q01_part1_exponential_growth,ab2g,2026072001,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,3592,a71298aad3543dd878d8dcca4a4af6b0d2abf302c7f4519dfe05b07b8a89bc4d,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,True,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,f3490b04a8183f69eb6d35bba2184f54ebfb015b81f2e962f268d659a6bf6ded,plain_text,extracted,3592,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072002,ce111_nonchoice_q01_part1_exponential_growth,ab2g,2026072002,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,920,9f2ba1aefec254dfaad6b0408b8a9783d70aea8850eae8b2a4fc0aed4e438652,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,True,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,1d9fdbd98400f44a7d92c8bf6b5b7d579926d585badc63d25b8351d74d1d05ad,plain_text,extracted,920,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072003,ce111_nonchoice_q01_part1_exponential_growth,ab2g,2026072003,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,3478,aa94436a1faf164899c57de4ea8be0191511671cb4b3847f5e14317716db3a08,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,True,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,255747cc83aa321f8be63a3a114e9c69ff42d05d0828629a9545ddede71bb217,plain_text,extracted,3478,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072004,ce111_nonchoice_q01_part1_exponential_growth,ab2g,2026072004,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,2611,c1b1981fca7a98f1d21dce2114e8b0402823ed3358b506217f8a68f0e51cc299,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,True,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,93b53e8ecc5f9453d3b391caa8a401c0c9d353bbbc3c6b717bedfe99330d7e30,plain_text,extracted,2611,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
