canonical_cell_id,condition,task_id,seed,source_file_path,before_source_recovered,after_source_recovered,exact_source_or_partial_source,source_sha,expected_after_sha,reconstruct_unified_diff_possible,evidence_confidence,is_incremental_posthoc_pass
qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026072004,Ab2g,ce112_q04_radical_simplification,2026072004,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026072004/artifact.json,True,False,PARTIAL,c8e83cecbd57121723a290f1a91c9a32a75ab3ecd2d593b2279f70bffe141ae7,2e77e663c63a9660ceb9a6b6fa3cc417dcb6ab43609e090b242cb32fa73eca8c,False,RULE_LEVEL_ONLY,False
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026072002,Ab2d+spec,ce113_q01_negative_fraction_subtraction,2026072002,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026072002/artifact.json,True,False,PARTIAL,61c5bbe666505b451b43d5c8cf341dcd1fe6d08781be401035c5c30e6da55714,5c0096122f64bcc5a63e9f767029c35f9aa9ebf402f9346e4608727a2a9116fc,False,RULE_LEVEL_ONLY,False
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026072003,Ab2g,ce113_q01_negative_fraction_subtraction,2026072003,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026072003/artifact.json,True,False,PARTIAL,8699b3c183676d9e7b28d43998acb688d45ab70864ee1f88fb49d710caa1e020,f5d064162554e6256e5ee44ad4f0810b1ba0990a51f18e3eb7374e280320db05,False,RULE_LEVEL_ONLY,False
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,Ab2d+api,ce115_calc_radical_simplification_l1,2026071301,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301/artifact.json,True,False,PARTIAL,c74c03157866c1b595bf9dfdaffcdb351de06215e6dd08aa465bf14f2ae95c1d,ac6299da36256125e27fc76c71bb76ff1ef1b31939f71e72fc22df1f4b092aaf,False,RULE_LEVEL_ONLY,True
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026072002,Ab2d+api,ce115_calc_radical_simplification_l1,2026072002,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026072002/artifact.json,True,False,PARTIAL,d9af6acf3f2f1a9fbe9e608dc1895e06bf5879f8a1fbb98c4a0e62fd686e4858,0ddd4fb757580b67e7f6e9ba0c57a665a96f20e0a445ca54d97f2fe567610a25,False,RULE_LEVEL_ONLY,False
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026071301,Ab2d+spec,ce115_calc_radical_simplification_l1,2026071301,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026071301/artifact.json,True,False,PARTIAL,b2006e371ba0db41cb0bf5639a8bc10001f58b25a58ed3186028ea9e727e1a9d,a03ab5c3aa293ec62608839352f34456f0252a5d8752f31674ea58a39a2d33f2,False,RULE_LEVEL_ONLY,False
