canonical_cell_id,condition,task_id,seed,before_sha,source_parseable,single_key_payload_wrapper_present,return_dict_key_count,wrapper_value_type,matches_rule_precondition,oracle_answer_used,unique,local,offline_verifiable,safe_repair_candidate,verdict
qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026072004,Ab2g,ce112_q04_radical_simplification,2026072004,c8e83cecbd57121723a290f1a91c9a32a75ab3ecd2d593b2279f70bffe141ae7,True,True,3,radicand,True,False,True,True,True,True,CONFIRMED
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026072002,Ab2d+spec,ce113_q01_negative_fraction_subtraction,2026072002,61c5bbe666505b451b43d5c8cf341dcd1fe6d08781be401035c5c30e6da55714,True,True,3,oracle_payload,True,False,True,True,True,True,CONFIRMED
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026072003,Ab2g,ce113_q01_negative_fraction_subtraction,2026072003,8699b3c183676d9e7b28d43998acb688d45ab70864ee1f88fb49d710caa1e020,True,True,3,expression,True,False,True,True,True,True,CONFIRMED
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,Ab2d+api,ce115_calc_radical_simplification_l1,2026071301,c74c03157866c1b595bf9dfdaffcdb351de06215e6dd08aa465bf14f2ae95c1d,True,True,3,radicand_input,True,False,True,True,True,True,CONFIRMED
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026072002,Ab2d+api,ce115_calc_radical_simplification_l1,2026072002,d9af6acf3f2f1a9fbe9e608dc1895e06bf5879f8a1fbb98c4a0e62fd686e4858,True,True,3,radicand_input,True,False,True,True,True,True,CONFIRMED
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026071301,Ab2d+spec,ce115_calc_radical_simplification_l1,2026071301,b2006e371ba0db41cb0bf5639a8bc10001f58b25a58ed3186028ea9e727e1a9d,True,True,3,frozen_radicand,True,False,True,True,True,True,CONFIRMED
